Gravité de l'accident;Type d'accident;Mois de l'accident;Genre de route;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Accident avec tués;Accident par tamponnement;Décembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Décembre;Route principale;0;0;0;0;0;0;1;0;0;0;0
Accident avec tués;Accident par tamponnement;Décembre;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Décembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Décembre;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du changement de direction;Janvier;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du changement de direction;Janvier;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du changement de direction;Janvier;Route principale;1;0;2;2;0;0;0;0;1;0;0
Accident avec tués;Accident lors du changement de direction;Janvier;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du changement de direction;Janvier;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du changement de direction;Janvier;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du changement de direction;Février;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du changement de direction;Février;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors du changement de direction;Février;Route principale;1;0;0;0;0;1;1;0;0;0;0
